AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);DEMANDA(MWh);
2017;03;04;1;0;27417;
2017;03;04;2;0;25456;
2017;03;04;3;0;23936;
2017;03;04;4;0;23281;
2017;03;04;5;0;23010;
2017;03;04;6;0;23009;
2017;03;04;7;0;23465;
2017;03;04;8;0;24375;
2017;03;04;9;0;25817;
2017;03;04;10;0;28636;
2017;03;04;11;0;30714;
2017;03;04;12;0;31360;
2017;03;04;13;0;31184;
2017;03;04;14;0;31293;
2017;03;04;15;0;30375;
2017;03;04;16;0;28933;
2017;03;04;17;0;27941;
2017;03;04;18;0;27520;
2017;03;04;19;0;27756;
2017;03;04;20;0;30118;
2017;03;04;21;0;31494;
2017;03;04;22;0;31467;
2017;03;04;23;0;29928;
2017;03;04;24;0;27839;
